specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,result_source
Extended,1000,5,OLS,0.15197779459525212,0.041826783161302235,0.10064124238774308,0.005392964520209086,0.8554577254845313,0.07990124538248347,5-fold sample-size experiment
Extended,1000,5,Random Forest,0.16185285840571248,0.024884670413240335,0.10625046359158388,0.007944366418113889,0.8418015549009784,0.04156220228415941,5-fold sample-size experiment
Extended,1000,5,TabPFN,0.13123971047096644,0.03407157752617872,0.0833361326818726,0.006490086528605304,0.8924482957284537,0.055771308170369294,5-fold sample-size experiment
Extended,1000,5,XGBoost,0.14365571383672257,0.027078337097062047,0.09485081201530723,0.0041564663240743005,0.8738520432091879,0.045726139451655774,5-fold sample-size experiment
Extended,2000,5,OLS,0.15269368509292974,0.018909695796745334,0.09795382007465459,0.004661577632042903,0.8564271854029639,0.02921327578058662,5-fold sample-size experiment
Extended,2000,5,Random Forest,0.1503528777896747,0.02129217360628012,0.09927197449348396,0.0065186624515463,0.8614351666022294,0.02826131608717512,5-fold sample-size experiment
Extended,2000,5,TabPFN,0.12849718393121257,0.016728247550306344,0.08173266877331584,0.0032132942142882965,0.8990866515570073,0.016166338293147252,5-fold sample-size experiment
Extended,2000,5,XGBoost,0.13743133204407926,0.01646363478650347,0.09013337132540022,0.0030357943890460706,0.8846853170181002,0.01568148810399266,5-fold sample-size experiment
Extended,2930,5,OLS,0.1409974738208099,0.023013903895257905,0.09216381724442539,0.0013379764414487784,0.8779463206624311,0.03897887650221831,5-fold sample-size experiment
Extended,2930,5,Random Forest,0.13889485199349677,0.01221866316321211,0.0931781298060699,0.0043012298797847634,0.883224931721925,0.019251176533170534,5-fold sample-size experiment
Extended,2930,5,TabPFN,0.11942582614026324,0.016590897593374596,0.07725777258607505,0.003967722905393178,0.912864035932315,0.023524133792151954,5-fold sample-size experiment
Extended,2930,5,XGBoost,0.1295788990255881,0.013062676813893462,0.08585087061964032,0.003374752933565958,0.898162037293962,0.019673254081411885,5-fold sample-size experiment
Parsimonious,1000,5,OLS,0.23607453117781052,0.03854819599991788,0.16386301456809704,0.00940981722200779,0.6609718552653924,0.10446231896376423,5-fold sample-size experiment
Parsimonious,1000,5,Random Forest,0.22696712716610712,0.025527706180542564,0.15515699990033055,0.00946378340384023,0.6892520320834199,0.06092566484743879,5-fold sample-size experiment
Parsimonious,1000,5,TabPFN,0.2085304467240386,0.03220932691859577,0.14152023835477734,0.010358855947715144,0.735479810288986,0.07652724735580753,5-fold sample-size experiment
Parsimonious,1000,5,XGBoost,0.22234323905282422,0.020092623981709495,0.15603267539488014,0.006429269589875354,0.7026173777081962,0.04480488289860277,5-fold sample-size experiment
Parsimonious,2000,5,OLS,0.24002629398630929,0.028164010177266424,0.16643870065612204,0.010094953702616144,0.6474811585413829,0.051744270314236875,5-fold sample-size experiment
Parsimonious,2000,5,Random Forest,0.21761279480941703,0.019383395008241572,0.15047065238260898,0.009562521732156845,0.7107244159125982,0.023657143265213416,5-fold sample-size experiment
Parsimonious,2000,5,TabPFN,0.20517835736621665,0.02144421655320042,0.14085511597865435,0.006308857376762956,0.7428670233883657,0.028270374335916313,5-fold sample-size experiment
Parsimonious,2000,5,XGBoost,0.2159256904889859,0.01719228896216766,0.1508761019427979,0.007320619020719819,0.7151337063173988,0.017919134107835126,5-fold sample-size experiment
Parsimonious,2930,5,OLS,0.23745529018208583,0.022728742445824367,0.16678704176994363,0.009069238081919062,0.6585007973411734,0.061105473215674,5-fold sample-size experiment
Parsimonious,2930,5,Random Forest,0.21145174392357205,0.013983747019926922,0.14803813517509493,0.005995531503112295,0.7301153369921531,0.03201259566619504,5-fold sample-size experiment
Parsimonious,2930,5,TabPFN,0.2019652961204287,0.016294420076326373,0.13995721900359517,0.006172444121799727,0.7534021590892581,0.03650361086119657,5-fold sample-size experiment
Parsimonious,2930,5,XGBoost,0.2095227971843959,0.011986089583355786,0.14897010962586393,0.005774748996897529,0.7352116081775174,0.026364032677477254,5-fold sample-size experiment
