dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
King County,Extended,1000,5,Random Forest,One-hot encoded,0.22380298872577292,0.010595357620934201,0.1593225199812703,0.0065250677109471465,0.8294185243331327,0.026563426602629638
King County,Extended,1000,5,Ridge,One-hot encoded,0.20758319141982834,0.009660931082194006,0.151912474864353,0.003402040006231752,0.8527070583191962,0.024916800917149703
King County,Extended,1000,5,TabPFN,Category-coded,0.18427554291847975,0.012341681153845593,0.13014266038736239,0.006168130817478175,0.8834483265013839,0.02520489896274865
King County,Extended,1000,5,XGBoost,One-hot encoded,0.20555439156935792,0.009498520058995335,0.14759877435934354,0.007602841086445942,0.8551177931323979,0.028314474741225792
King County,Extended,2500,5,Random Forest,One-hot encoded,0.1998391402866572,0.014336292538515191,0.1422316541502364,0.00909098403811284,0.8620008293772722,0.017451934407540042
King County,Extended,2500,5,Ridge,One-hot encoded,0.19194603756236864,0.010117519872155957,0.141340895724759,0.007855373744015643,0.8729043899668463,0.009871296291884728
King County,Extended,2500,5,TabPFN,Category-coded,0.1677108808771129,0.007982355667401098,0.11797671053259254,0.007246864334823438,0.9029559213315691,0.007069442555655873
King County,Extended,2500,5,XGBoost,One-hot encoded,0.1815441828111382,0.009502500915737207,0.13087158978759478,0.006872502995660551,0.8862595800234635,0.00948662774104105
King County,Extended,5000,5,Random Forest,One-hot encoded,0.1920856998322038,0.008056426103299532,0.13609676647428026,0.003611844797604209,0.8674366526716362,0.014765092144773563
King County,Extended,5000,5,Ridge,One-hot encoded,0.18817961508755499,0.006044465465022908,0.13860497172976322,0.002766162260347394,0.8729810144630346,0.010405953197787091
King County,Extended,5000,5,TabPFN,Category-coded,0.1612506961265277,0.00875690550982508,0.11377244175749693,0.003605299639416263,0.9066145113665881,0.01095292720187166
King County,Extended,5000,5,XGBoost,One-hot encoded,0.1729466119731251,0.0071335679336550824,0.12474275080609094,0.00339583876871869,0.8927591551519006,0.008859826721110147
King County,Parsimonious,1000,5,Random Forest,Not applicable,0.3651573266186614,0.022932126613296005,0.2927088298591186,0.020207974713475654,0.5479322298812013,0.05536225267038568
King County,Parsimonious,1000,5,Ridge,Not applicable,0.3680961977845293,0.020789102154757075,0.29354755985137165,0.015578083928342243,0.5409347593690556,0.04970098290515795
King County,Parsimonious,1000,5,TabPFN,Not applicable,0.3452513291161695,0.01694431720147266,0.2749643673582579,0.015472375194719981,0.5931241405503035,0.06970167421097782
King County,Parsimonious,1000,5,XGBoost,Not applicable,0.353645707455894,0.022243469301780096,0.28382694628624133,0.016371499220327164,0.574988214844776,0.06168660230219253
King County,Parsimonious,2500,5,Random Forest,Not applicable,0.3542557760468864,0.016421911264638583,0.2799342614994759,0.012493126218701241,0.5656345288512178,0.049217661855560285
King County,Parsimonious,2500,5,Ridge,Not applicable,0.3618373613110134,0.010876905140082145,0.290468438204616,0.008271967342252507,0.5478130025801784,0.0316924162185547
King County,Parsimonious,2500,5,TabPFN,Not applicable,0.3364939434642789,0.011708174085081785,0.2642964771256454,0.007388993428317267,0.6084319124786581,0.036789037000052684
King County,Parsimonious,2500,5,XGBoost,Not applicable,0.3471430241905469,0.012326941590063858,0.2772443000960049,0.008750933179048884,0.5826377550924994,0.046989591440608484
King County,Parsimonious,5000,5,Random Forest,Not applicable,0.34583520121510813,0.006032276454848468,0.2729580330981721,0.005963274685578318,0.5713242752633865,0.024062713690932783
King County,Parsimonious,5000,5,Ridge,Not applicable,0.35798827826396457,0.010290204706752067,0.2874082111677086,0.006313112939422142,0.5409057460644611,0.024872506327087422
King County,Parsimonious,5000,5,TabPFN,Not applicable,0.33446909539489944,0.0065585234286758,0.2627398617586641,0.004410599406946866,0.5989807728494747,0.024474824222304105
King County,Parsimonious,5000,5,XGBoost,Not applicable,0.34015940339525436,0.007445904693434726,0.269765458368893,0.005629464805540542,0.5853618516990358,0.022856958830266224
